k,LB,UB,gap,sum_ms,ms,added_nodes,UB_node,new_nodes,as_nodes
9,-21.47775638406714,7.604156760456047,29.081913144523185,,"[-1.5990428373367098, -1.4057085142319048, -0.84657994402793, -0.1983711641202477, -0.9377223797527036, -1.1438893885620616, -0.3525551831653533, -1.113800971485237, -0.3355580591104992, -0.1382333356710484, -1.5363066271168826, -0.3449713052927321, -2.4595467514893983, -1.1151435576895277, -0.4161289713125951, -0.2242430847235286, -0.9161987334102821, -1.4477710211283883, -0.589360200228755, -0.5875331274796071, -0.39378206283302086, -1.1273077491268217, -2.684153118019898, -0.6675889721935166, -1.4460728763957222, -1.2904467243299242, -1.1919851305350955, -0.36124324875380776, -0.49033840330929834, -0.34665169295598985, -0.24456411713346649, -0.5952463899364553, -1.4911562283678823, -0.5650188644669973, -0.9366087969011463, -0.22838763652930283, -0.5470664802384972, -1.0014757071149956, -0.4806903606580142, -0.09713553868532535, -1.1645915000184688, -1.052062012685258, -0.4148856870356378, -0.24003698186197575, -0.4642776127053224, -0.5209317808418423, -0.6295938879571739, -0.6847151813070406, -0.6011138184433491, -1.4710242363948636]","""[0.0, 0.23140269410029346, 0.23140268921985296]""","[1.0, 1.0, 1.0]","[0.26441055359785437, 0.0, 0.19931882044963833]","[3.9007114612311193, 2.4205920396552045, 1.109851487426659, 0.5593037176349518, 0.9777785873250637, 0.792440233468763, 0.5164290177529021, 0.3616264624871053, 1.4751702499663175, 1.7902175349104912, 1.8361753599631065, 2.11343763097226, 0.9086782439984062, 0.9051581788002384, 1.0761478736472336, 2.489383019656981, 0.9989584999390881, 2.700497524740492, 0.5585936993097422, 3.0987828926805516, 2.1206929334612985, 1.8205006225525797, 2.9257668832909878, 1.0709124158871015, 2.403297048231668, 3.146666231414258, 1.4751702689736004, 3.481913038205657, 3.393026701603486, 3.5117115890816026]"
10,-14.435869132000509,7.604156760456047,22.040025892456555,,"[-1.4214492689582772, -1.0629984891575632, -0.6113929052527659, -0.2731390614347169, -0.722042186646132, -0.699241627429293, -0.3302702007732258, -0.7416648834489856, -0.3661350343686235, -0.13743668502337414, -1.3402049902566417, -0.24898939294795364, -2.2042119582713338, -0.6913804684590183, -0.4826569929044967, -0.17970539986458944, -0.8166456030976847, -1.1944633656616936, -0.39493275771426123, -0.6654940224313688, -0.39369201146710897, -0.8418462370850148, -2.3300431076170445, -0.4681163320970605, -1.2017941590614156, -1.1013732912350047, -0.8506528965396425, -0.35636337788132333, -0.432749008030793, -0.20705314078953074, -0.15394206255219633, -0.5416520698945091, -1.1666650920790913, -0.5480850928578263, -0.8071781820330324, -0.2317017952951248, -0.4610242153561137, -0.8800887021008097, -0.3562635929446525, -0.09768640796679068, -0.9923768766326775, -0.9280773735283269, -0.3352946865017027, -0.23435662141971758, -0.36723005142929954, -0.3597528423047759, -0.7021326049653747, -0.5064489604529764, -0.649448214322808, -1.0093864024611259]","""[0.04361503854270288, 0.1930060748517003, 0.0]""","[1.0, 1.0, 1.0]","[0.22734793499195552, 0.0, 0.0]","[3.054419096960109, 1.772467228928573, 1.275236781560554, 0.4623751762304345, 0.6486041311839825, 0.5044991827148441, 0.4460209546225892, 0.27141388844990705, 0.9965209014938909, 1.438975698938345, 1.5636393515444187, 1.4784293191244133, 0.6027028295010711, 0.600435000142131, 0.7342586466593793, 1.75239001940163, 0.9002903549995792, 2.0779190591573946, 0.44637069042024, 2.218339901919841, 1.405088415414747, 1.211666651247852, 2.1475457248967573, 0.7400989684576191, 1.6239497137930425, 2.3228620145307945, 0.9965209234228121, 2.5496886494909208, 2.5668046610447046, 2.6666906951661895]"
11,-14.190668068272595,7.604156760456047,21.794824828728643,,"[-1.4152252478998115, -1.0630008194647804, -0.6134766532720125, -0.2732697637160344, -0.7138136336728258, -0.699241316427706, -0.33996324102215136, -0.7319390693787744, -0.36706219709096133, -0.13748006317499822, -1.3402165954985248, -0.2489889463962317, -2.2042236072389847, -0.6920109395849479, -0.48613712736549775, -0.17972019856918708, -0.8165989924507246, -1.1417229565923392, -0.3951583679054161, -0.6638972584306794, -0.3936873157567249, -0.8034151993155585, -2.3160461944996653, -0.46823612534934256, -1.2056336012718003, -1.1013725391207823, -0.8430975075402989, -0.3564142561221163, -0.4321905286773799, -0.20705352052653248, -0.15152166363551267, -0.5349472459205693, -1.1565774858468392, -0.5492814551257386, -0.8047102850459529, -0.23367077025603555, -0.46153133244842803, -0.8806522761147249, -0.3516687832663534, -0.09877179480708506, -0.9388871998924675, -0.9166964469196162, -0.3349566484572345, -0.23437632349865611, -0.3672942336315974, -0.35991521842568724, -0.7000391751112933, -0.5064416245838256, -0.6494269964956708, -0.9700688964608877]","""[0.0, 0.21358974078943863, 0.0]""","[1.0, 1.0, 1.0]","[0.0, 0.02131700242011526, 0.021317007405532305]","[2.8069996617289235, 1.3788890730375045, 2.0070752414110977, 0.7887674311367745, 1.1565237314326922, 0.635357391258203, 0.9382979127326323, 0.46501086657986973, 1.4672879486178285, 2.1694507513137986, 2.3443423447297995, 1.9665814399547923, 0.7838010068859935, 0.7822475294889507, 0.9237778142493487, 2.061419723941663, 1.628906822894459, 2.547848795573696, 0.8557484249033953, 1.7495146433056508, 1.3320001383622133, 1.247690737872254, 2.3922235302695047, 1.2025461382970595, 1.604211305983332, 2.4171708582847113, 1.467287995363467, 2.1597124096795484, 2.6015778668701657, 2.6080141519406257]"
12,-11.08905724276278,7.604156760456047,18.693214003218827,,"[-0.9185215060639289, -0.840840716416527, -0.6135642559814892, -0.2732869242653444, -0.5494047093335165, -0.6730191785584343, -0.3400613659203935, -0.7321291633592253, -0.36700404135167564, -0.13747577094014574, -0.9923756463275057, -0.248989590881866, -1.6322771305586734, -0.6916896307230307, -0.485756337635491, -0.1798621030317049, -0.8166533285467794, -1.141710143148543, -0.39459369438068337, -0.6654918746553459, -0.39378106626930953, -0.709651031984744, -2.005724564936334, -0.468143097537433, -0.9258403258035939, -0.9678269707924414, -0.7479487439788173, -0.3564164199352411, -0.43274987416521604, -0.1787907363174795, -0.1321935698785473, -0.5417666612359295, -0.9368356352350429, -0.5493686496124406, -0.8071221065185405, -0.23363843475038637, -0.4614483962075322, -0.8804956474436516, -0.3565440028054008, -0.09876997961807624, -0.8311794028291333, -0.9269922759855228, -0.3355447625375553, -0.23437822312198164, -0.36734046751271077, -0.3597921698622137, -0.7021552307157735, -0.5064503234288436, -0.6495785407168015, -0.9569443899501417]","""[0.2906347743928169, 0.0, 0.0]""","[1.0, 1.0, 1.0]","[0.0, 1.0, 3.127933137780926e-07]","[2.1797722248545828, 1.3589577750995345, 2.150376159682373, 1.314206172880216, 1.4339067300199253, 0.9805704735096226, 1.405177861465771, 0.958273244517157, 1.78773439297268, 2.0973275412026324, 2.1534598811637267, 1.8676033760499093, 1.1823261819902797, 1.181629551481666, 1.3027610693726792, 1.999986464603437, 1.8538456116359556, 2.1641722743825116, 1.462105473433366, 1.733451879257588, 1.5106541346290778, 1.5098057023723932, 2.0384577098769525, 1.652121426197474, 1.7427942272685975, 2.093834861112869, 1.7877344222317701, 1.9571009568006654, 2.1124977273403296, 2.1377453524518946]"
13,-8.201214367657592,7.604156760456047,15.805371128113638,,"[-0.9197937339524844, -0.7317207770904768, -0.6136464985131407, -0.27328117460440104, -0.5513456035777167, -0.5381474281269334, -0.34005856077178265, -0.7327664838464518, -0.3671282608648063, -0.11370245981612381, -0.8388181958862854, -0.24898722657968753, -1.283821684326356, -0.6388497238350105, -0.48619932481302364, -0.17986376354796552, -0.6856692702679947, -0.9241341325566026, -0.389033525094712, -0.6654880002488963, -0.3935444384123301, -0.44944523241364887, -1.062318724173552, -0.46824510303303146, -0.8431201426430861, -0.9684893954385247, -0.5437648084650104, -0.3564316740957095, -0.4326159046854826, -0.17888523302673104, -0.13224596166916808, -0.5395191703703696, -0.8732692541649533, -0.5493814241093546, -0.8007906418674084, -0.23366365553855262, -0.4619430221680598, -0.8806471880267046, -0.3565437547540067, -0.09877180028765875, -0.7901069003811415, -0.9278202507346938, -0.3355451011878853, -0.23391987784644963, -0.2742240127694011, -0.33931224835669915, -0.7021552018380532, -0.5064334330307226, -0.649587495485197, -0.9570790593675194]","""[0.30817917919955695, 0.3073290078106226, 1.0]""","[1.0, 1.0, 1.0]","[0.0, 0.02105076488610277, 0.021050769809254723]","[2.348063025570599, 1.4652028271035835, 1.2001349945894113, 0.5213504644291611, 0.5840826079550306, 0.4772584047587398, 0.3901503048193028, 0.2905041932493153, 0.9527803035200275, 1.280835083017661, 1.3537048449740348, 1.2624852944526406, 0.5738831799061926, 0.5720592037555399, 0.6905765993871475, 1.4980621679624675, 0.8045462715382095, 1.711073884856452, 0.5085917948682279, 1.7642561751221397, 1.1963265153533134, 1.0566317013272095, 1.7503074036876949, 0.7548856974497117, 1.371723296087709, 1.8822333668958324, 0.9527803243321943, 2.0094767156719837, 2.034489859614755, 2.1045942634564705]"
14,-4.74831646359296,7.604156760456047,12.352473224049007,,"[-0.7171291533163184, -0.5768740030067385, -0.6137643061639765, -0.27328739962089776, -0.44408566477742695, -0.5381349684705168, -0.3400701571633409, -0.5576318872109469, -0.36712271789364903, -0.1140034744065872, -0.6637025351409851, -0.2052969868647465, -0.975762671367195, -0.6388598776739852, -0.4862071677537618, -0.17986408155928468, -0.5367334656562726, -0.7223089774295113, -0.38903354276721497, -0.6654575394086875, -0.3937822712053298, -0.4508208553524029, -1.0623202043233362, -0.39063351838501537, -0.6519210707875811, -0.9022576796979136, -0.54385260579268, -0.35643061692397726, -0.35506633684794575, -0.1750012642421609, -0.11987706671550413, -0.5419942247364679, -0.6776891975520506, -0.4254443055494801, -0.5777663483001505, -0.23369886339096835, -0.3730695899846457, -0.6263604351443419, -0.35652085366403785, -0.09877067833942926, -0.6082023256142933, -0.9280773555406171, -0.33554564630813166, -0.1544798126132806, -0.26886150361423455, -0.2644848579835451, -0.7021552450989259, -0.5064067186075697, -0.6495811136697617, -0.6729748909594946]","""[0.0, 0.08688383827722823, 0.08688383644495429]""","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0618910259034799]","[3.06424281366598, 1.2844144403334234, 0.9319175217689379, 0.31176253838274604, 0.8651625299695725, 0.4963876359479035, 0.5021600960200919, 0.23457114041936075, 1.2558352821082026, 1.7927711481429518, 1.9114229550747854, 1.7677481918426379, 0.5776496371905735, 0.5757154811262933, 0.67118674518102, 2.072352040229958, 1.0211381229568757, 2.484116831531855, 0.3863072479266385, 1.9346312624638662, 1.3238228111277777, 1.1750347125532188, 2.373278454733036, 0.8782206960638327, 1.678574095076621, 2.5474792121306784, 1.2558353191029452, 2.4248245095636625, 2.7089339357437976, 2.8005920106858975]"
15,-4.585168146260724,7.604156760456047,12.18932490671677,,"[-0.7171309228415106, -0.5824173321015377, -0.6134288688396656, -0.27328701460990334, -0.43822575012526255, -0.538038717872755, -0.34007010581994235, -0.5574652600690533, -0.36712839014987697, -0.11401103621485953, -0.6635100318331502, -0.20531716257547616, -0.989541587343234, -0.6388595269759201, -0.48620726872378817, -0.17986407550064687, -0.5396556098155922, -0.7325249824462396, -0.3890006988774293, -0.6654943583268043, -0.39362590976502165, -0.4508512781966738, -0.8828664889515321, -0.390634099501604, -0.6519915175833273, -0.9022576989620523, -0.5438800474906054, -0.3563208933567219, -0.34766183827337316, -0.17495895296628405, -0.11987760723935847, -0.5409337840730841, -0.6847041548944779, -0.42513118728149113, -0.572813795022105, -0.23369887217122676, -0.3730704481847824, -0.6283974865111173, -0.3565439411043758, -0.09877040833350531, -0.608609815789813, -0.9280770540163944, -0.3355456174763206, -0.1478337994800376, -0.26848656193736686, -0.26673511041316655, -0.7021551556696022, -0.5064339777699679, -0.6494140978829221, -0.6727694159041384]","""[0.00018262778284564962, 0.3497085109122686, 0.9957697549254424]""","[1.0, 1.0, 1.0]","[6.73886343324478e-05, 0.0, 0.5935615803340328]","[1.7320601342215063, 0.7223814071669384, 1.4822315609528416, 0.5152960475926749, 0.9614325982113537, 0.4388858985351607, 0.8907109082026874, 0.3748821454789273, 1.0953232597545526, 1.5133018716802005, 1.5963713020634724, 1.3798560289606185, 0.515045060572605, 0.5144291537270046, 0.5729375671155542, 1.4196342217231834, 1.2823386942891988, 1.6568827122581564, 0.7540519961897963, 1.1362025253856143, 0.9007713512875182, 0.8236266480909284, 1.566091404775056, 0.9105855834735267, 1.104347245041926, 1.5781248973270752, 1.0953232946621332, 1.4155560903054225, 1.6515726057867444, 1.6556987576919102]"
16,-4.546278144036258,7.604156760456047,12.150434904492304,,"[-0.717129240846941, -0.582426873431353, -0.6137960472007864, -0.2732879522363121, -0.44617201230264925, -0.537972045012032, -0.34006996944437173, -0.557644496425538, -0.3671282617286613, -0.11121257766188364, -0.6637400298498731, -0.2053174222053602, -0.9942054191026413, -0.6388591629995107, -0.48620658825952323, -0.1798639208092534, -0.48350039505305975, -0.7185922331323917, -0.3890377302460894, -0.6654945414640949, -0.3937822780110145, -0.4508492201069293, -0.8828695379271401, -0.39063356975406216, -0.6519818211833961, -0.9022143047931213, -0.5438785713445973, -0.35643145139045895, -0.35507830374832045, -0.1749923258702415, -0.11987705103443796, -0.5419925267748747, -0.6847070694716316, -0.4254441781631506, -0.5829825754006721, -0.2336978566455461, -0.37304954018187897, -0.6284129971152432, -0.35654366928235914, -0.09877158494971125, -0.6086097117659376, -0.9278989576218636, -0.33554540371454467, -0.15378162704883336, -0.2688584614421099, -0.2667299102726432, -0.7021547480172159, -0.5064503361329357, -0.644269039425144, -0.6731941670382819]","""[0.0, 0.3460557059337155, 1.0]""","[1.0, 1.0, 1.0]","[0.0, 0.021182804751049198, 0.021182804751049198]","[4.1200802648763295, 2.5601723379358785, 2.294483681965309, 1.2508998750203093, 1.3654660495283597, 0.9821278611623551, 0.9669521145549282, 0.6393735480719234, 2.3018124434383864, 2.9355245650803, 3.070200069410506, 2.6069966868783276, 1.2748893664349628, 1.2716387882182139, 1.559804000984055, 3.1096979604788695, 1.8982516099474647, 3.5172649159848457, 1.1569121745826911, 3.1383727220947595, 2.3163496179244407, 2.2066622925786246, 3.345184705472345, 1.927701901799421, 2.744455794062291, 3.590542904991375, 2.301812491119043, 3.5534993465574947, 3.729511567525658, 3.8493328428806985]"
17,-3.589477780229661,7.604156760456047,11.193634540685707,,"[-0.7171291219939682, -0.4876920052498104, -0.6137953369979605, -0.27328744657421833, -0.36976318099040706, -0.5381358716701385, -0.3400699664975333, -0.5040904348364972, -0.36712820888876574, -0.11171949677067872, -0.6632844781887377, -0.20531320573087775, -0.8866792706298724, -0.6388300191194329, -0.4862073038744106, -0.1798324892312141, -0.48518279532648345, -0.6877366027436795, -0.38903966474110746, -0.6647447907678418, -0.389120471124468, -0.4508509552657203, -0.8828683543151317, -0.39063349512476786, -0.6519921658359173, -0.9022572774558228, -0.5438790212957025, -0.35643145088989847, -0.22284971257833275, -0.17500153981115485, -0.11894302284090352, -0.5417433142463166, -0.5299073340086482, -0.42544407879852475, -0.5728134824165776, -0.2336969092015052, -0.3730694882876273, -0.5526890240857543, -0.35654402631984294, -0.09877186066522642, -0.4598179042877434, -0.9280762168295127, -0.3355449358414351, -0.13260614162500506, -0.2688588012525408, -0.22001464695148054, -0.7021550254743116, -0.5063801287439078, -0.6495609590430002, -0.6683559157936134]","""[0.0, 0.0, 0.3104653696419333]""","[1.0, 1.0, 1.0]","[0.0, 0.021430143214358648, 0.021430148226235988]","[1.6554114411449352, 0.5949838951454451, 1.4797788971105375, 0.4744847368120474, 0.8325474155619829, 0.3547659736799384, 0.7858256580863666, 0.32432224421693273, 1.0443387229961845, 1.4882979522085769, 1.5794070798445659, 1.2649096113189022, 0.44444142893578026, 0.4439568599139447, 0.5052814663754139, 1.3555141850747652, 1.2191513492489738, 1.6120527527663233, 0.707547517469571, 1.0221689253499926, 0.7856085710090537, 0.7375066737146122, 1.4685449309904923, 0.8656945751026885, 1.0151781337811077, 1.5074690246682867, 1.044338760024119, 1.315129519951837, 1.5641700317006417, 1.5819640204598155]"
18,-4.781854306812786,7.604156760456047,12.386011067268832,,"[-0.7141952132904281, -0.6096813549889346, -0.6133711356455832, -0.2732874827803775, -0.4169761252860894, -0.4686525847163203, -0.34007009146603717, -0.5697253898730965, -0.36695145593461787, -0.1098084398174779, -0.7789988194009259, -0.20531733719140255, -1.2546090754972967, -0.6388555681633461, -0.48620725672505083, -0.1798641269243525, -0.6198993262879454, -0.8700202445218901, -0.24412864335442067, -0.6654940997037593, -0.3853255007385067, -0.5807915622291083, -1.209908044985618, -0.390633577832753, -0.7556919579840293, -0.9022576321418265, -0.4440464099028202, -0.356431558707334, -0.2892433285326945, -0.17485706563748615, -0.1211971470688395, -0.3184404619255282, -0.7215093528023646, -0.4254439947692892, -0.5728094755867714, -0.23369895456452383, -0.3730696792991184, -0.61233797595369, -0.35654401647541567, -0.09877179315872678, -0.6650751455595363, -0.5420071033038789, -0.24961791995018467, -0.14443544534580866, -0.28432613554460473, -0.21590502657466287, -0.7021259205656571, -0.5063876112193516, -0.6494233826009941, -0.7344889252866766]","""[0.3289388483821111, 0.0, 0.5372800968715452]""","[1.0, 1.0, 1.0]","[0.0, 0.021379478152940917, 0.021379478152940917]","[0.7002197381198978, 0.5394450657920977, 0.5813897737519684, 0.45702819685546126, 0.3502522339279038, 0.269652699936757, 0.33303604774426254, 0.25833725164833604, 0.5434375548855049, 0.6761940015404668, 0.7087308933758475, 0.5221822311222835, 0.3664745762977287, 0.36609390334826947, 0.4417903975651125, 0.6147951687732909, 0.5189987760792112, 0.7043237716871182, 0.35852705281152397, 0.5329622154581809, 0.43483416794939594, 0.4738998458850864, 0.6113809168461176, 0.5101504731542789, 0.5219627575139538, 0.6559754666917288, 0.5434375649128376, 0.5931936972900844, 0.6558877126835293, 0.6777335094403962]"
