k,LB,UB,gap,sum_ms,ms,added_nodes,UB_node,new_nodes,as_nodes
9,-0.0332489427740363,0.0038240367113510586,0.037072979485387354,-0.03707297948546451,"[-3.0006869434916625, -2.365472048184185, -1.8801187758067188, -0.9546657118435319, -1.70718559922219, -2.483500388673923, -1.111416529253551, -2.7820722426862012, -1.08448199723749, -0.416690772700993, -3.0286462931185563, -1.3567798955318804, -4.169556372993588, -2.163897190145908, -1.3343858604699705, -0.6683321970779883, -2.133241081421414, -3.2588231954711757, -1.0090632252445189, -1.2825833439974605, -1.4499498949251737, -2.3632624908168287, -4.103621001585572, -2.02683454782483, -3.1394884647482453, -3.9646062915657776, -2.1401929094866197, -0.7824897714823761, -0.8576660766953363, -0.9369023925404469, -0.6600125237521671, -1.226963916745505, -2.6244117042731103, -2.144726332167461, -2.4303845837848828, -0.8318954395892435, -1.8916857859791323, -2.700679824117294, -1.4818136098444898, -0.253638069149155, -2.27824863298979, -1.9861647100366844, -0.9109870276046704, -0.7676259886864408, -1.2634259550440101, -0.8615158235501955, -1.8870767201018819, -1.555270029192973, -1.5837828676847556, -3.385525663123281]","[0.47167861196949235, 0.5347710151713028, 0.534770972492945]","[10.0, 10.0, 0.0]","[0.0, 2.596858746015424e-07, 0.0]","[3.9007114612311193, 1.3181867814258295, 0.3985496797003679, 0.45271689769596524, 0.17764306279950365, 0.2956157280989043, 0.1640184564624242, 0.24791484025329613, 0.6097559373859216, 0.7657994101811628, 0.7646232155355814, 0.9359058995719239, 1.1092402041802154, 2.257379726834683, 1.867063627933065, 1.767374176696052, 2.068590991719973, 0.3427911795842212, 2.7313636911913832, 2.949027692180393, 0.3456015389663337, 3.263781111270562, 3.420527574243876, 2.6222861449453756, 2.3758313711821586, 0.5461301379030443, 3.3075537650434357, 1.5208983460710697, 3.5377350990090983, 3.6603829983143963]"
10,-0.03039388742909791,0.0038240367114282105,0.03421792414052612,-0.03421792414052612,"[-2.789220493761974, -2.214665493784361, -1.6551309777167673, -0.8876684297143462, -1.6205877956455597, -2.1132934617375487, -1.0317320453961452, -2.609488438597255, -0.9360828875488765, -0.4166907692933077, -2.8120032298063506, -1.1892866446295582, -3.96730596694438, -1.9725763760001553, -1.3341458166148026, -0.5986401788327979, -2.111553380089194, -3.1264699248675263, -0.9174169628490367, -1.2807871564261732, -1.4644464478589299, -2.137916166285081, -3.9359247239978914, -1.8193467676970223, -2.8429423874509494, -3.472455669708787, -2.0094273665501863, -0.7278803959413387, -0.85032208035852, -0.8299456863797691, -0.5745441530677149, -1.118710733335773, -2.4850377475503707, -1.8577617343758228, -2.3061292471862322, -0.7467942144027578, -1.6629807203604874, -2.501879958697268, -1.3770087993713198, -0.24199194684171815, -2.2065395500389746, -1.9281044555211588, -0.7903027654839392, -0.6906188248938665, -1.2141379049139949, -0.8211906190762808, -1.4607737158894247, -1.2561989658593447, -1.5588152410660758, -3.0699349308981834]","[1.3031265865255175, 4.692199716894568e-10, 4.692199530959837e-10]","[10.0, 10.0, 0.0]","[0.0, 0.0, 8.67238948511478]","[3.054419096960109, 1.1867089872052414, 0.34648658479347566, 0.43009854751704346, 0.1451846281587174, 0.26056158183010303, 0.13934526659343766, 0.22404360932716605, 0.42241288703706253, 0.50525184904508, 0.5044660992926645, 0.8003112646945504, 1.2748384633047984, 1.6720798138542559, 1.4653159460401721, 1.1945099402004955, 1.4434892701721116, 0.304348220324663, 1.9630820219590754, 2.1677876276437673, 0.2574729788601577, 2.350207445942701, 2.59233581262267, 1.8683551402330543, 1.7462913553290207, 0.4771710418503496, 2.468055637843235, 1.2875480348038433, 2.6065271731495643, 2.8192351542985303]"
11,-0.030333891042437257,0.0038240367114282105,0.03415792775386547,-0.03415792775386547,"[-2.7897321114617495, -2.21519478009047, -1.6093293550582486, -0.9569282016523802, -1.618919077105211, -2.226737099672219, -0.9777076722812833, -2.6372758115908863, -0.9450060196615772, -0.40352233406049137, -2.7620059465091846, -1.0787018078557953, -3.9673045061356604, -1.9967350433311624, -1.2918545024172348, -0.5853938325558823, -2.111511705481402, -3.1804094705793147, -0.9067125357220851, -1.262122383137305, -1.4656972404101114, -2.12484073833963, -3.931323156602008, -1.8189393925068817, -2.8429372927305328, -3.4532872760866775, -1.8628457207094369, -0.7730459396775113, -0.8456270677852527, -0.7382000526568008, -0.5707705763944245, -1.0448451156954919, -2.474609690436336, -1.9100911951953703, -2.2835514688150305, -0.7453780212966353, -1.6599810402274664, -2.590016074535876, -1.266027752275777, -0.242470109102075, -2.2054917085304058, -1.9386650033200183, -0.8426064327324915, -0.7258113408005082, -1.205600149934844, -0.7582008022624137, -1.707461360660481, -1.2922795144412422, -1.4606019165678936, -3.0905120375745216]","[1.305218626645599, 0.0, 0.0]","[10.0, 10.0, 0.0]","[0.029932523996916677, 0.0, 0.0]","[2.8069996617289235, 1.1825296203980762, 0.7522422618828908, 0.5267211031587535, 0.23108238667973857, 0.32429447742975603, 0.21779133974040812, 0.2899162770839087, 0.7423543243895081, 0.9585341784207582, 0.9573747538157239, 1.4568893687541782, 2.005733712082751, 1.3322964553012504, 1.2676339575173219, 1.6434495578271695, 1.94020974341191, 0.4539759186449352, 1.502332146894901, 2.4031744774885238, 0.35846996588076124, 1.9055105092936082, 2.6132512113544406, 2.1572365146687025, 1.36589427752863, 0.5385678878809184, 2.492794294184002, 1.218501011045551, 2.233836283714638, 2.712324192769574]"
12,-0.026980508280034895,0.0038240367114282105,0.030804544991463106,-0.030804544991463106,"[-2.781941278423488, -2.150040282869906, -1.3106686532873864, -0.806432827420001, -1.066016129892809, -2.18739864160019, -0.8759968190504495, -1.832434911496306, -0.9754499512992738, -0.3669976015282415, -2.737838095499784, -0.967967920373973, -3.792587694876053, -1.8460117014666269, -1.3343841995544732, -0.5341261881935997, -1.631854398588417, -2.438965705002043, -0.9068681795149391, -1.2621223788494718, -1.4583033348426162, -2.02052155806253, -3.57321505282021, -1.6646568046285495, -2.7703684331337937, -3.49561976649095, -1.9172397739150746, -0.6117871020786531, -0.6863010997324515, -0.636903323713907, -0.5717922153931433, -1.0499786653548184, -2.360968470546334, -1.7982344463039255, -1.8130085992998863, -0.5301516598072028, -1.5306486238553496, -2.174546350141985, -0.8816845925718004, -0.2404811061277728, -1.910770027051914, -1.938664784684991, -0.7696307914192569, -0.556637570132085, -1.0575150145303214, -0.8082278620098444, -1.624571870668422, -1.0249771510454264, -1.2573169857777597, -2.470535883729349]","[0.0, 0.6299328844382517, 0.179926184950928]","[10.0, 10.0, 0.0]","[0.0, 0.0, 0.0]","[2.1797722248545828, 1.3000648607286673, 1.2489330241266328, 0.920157148285882, 0.5047919667631662, 0.672334873584036, 0.506146468995879, 0.6552222264982754, 1.2803480611707645, 1.2948597834498117, 1.2939913257378663, 1.8780082648081862, 2.1502581363008044, 1.2947791752777438, 1.180633429696088, 1.8273025190791012, 1.8559814282280227, 0.8886954640998209, 1.519662223686899, 2.0424790146803287, 0.702573546427339, 1.831093921715451, 2.116457182242752, 2.006808768520851, 1.3384619168884606, 0.8493385886162482, 2.1005309883626, 1.2008163692264222, 1.9884238830972736, 2.149387377279907]"
13,-0.024308792040834498,0.0038240367114282105,0.02813282875226271,-0.028132828752262706,"[-2.4767388219373307, -1.5767429313917465, -1.112550405220096, -0.8044991707921758, -1.066348538961188, -1.8869224663584696, -0.9227869545896961, -1.3920586895609293, -0.7964567198244994, -0.1728432513727638, -2.695523681609346, -0.9679678911777223, -3.6768284208563755, -1.4777498169762064, -1.3343787946439385, -0.3604379034462365, -1.7193756964853675, -2.309902520050029, -0.9069013788618437, -1.2657486251942789, -1.461616070073716, -1.7768337697341658, -3.573169525487162, -0.8235824766709432, -2.46022575723649, -3.3494115604825563, -1.735537545867687, -0.6101560553166888, -0.5243676996546007, -0.6423406205838027, -0.4579985347635267, -1.0475115914454642, -1.9441333621835382, -1.4143066912137559, -1.791429458409065, -0.5292018130193535, -1.433117829755326, -2.174902583731763, -0.8840893902943847, -0.23053706482852104, -1.8714295127836134, -1.9386650481400027, -0.7067001613239359, -0.3807630460575775, -1.052279140176008, -0.5026153936128226, -1.4545651001863837, -1.0267614462131658, -1.2660924170875223, -2.3449685350129856]","[0.0, 1.00441737273611, 0.0]","[10.0, 10.0, 0.0]","[0.0, 0.0, 3.437142070516717]","[2.348063025570599, 1.1386248649255022, 0.224070511434124, 0.4451414448473808, 0.1416967751190219, 0.259100104742271, 0.1350536670990821, 0.226180059763481, 0.44434120683069883, 0.45832930713970077, 0.45763462717952036, 0.8804854743912941, 1.199488113379315, 1.4036349982196619, 1.2929129830581558, 1.083394193540691, 1.2356714819603178, 0.3318488129730801, 1.5847207705414494, 1.76437351803548, 0.255120308446711, 1.862096934440393, 2.0513353044456126, 1.5707724154058247, 1.4497568436948416, 0.4669767916974241, 1.974893690772795, 1.195607607793779, 2.0505012806635095, 2.1989122430064563]"
14,-0.01774942718412165,0.0038240367114282105,0.02157346389554986,-0.02157346389554986,"[-1.411595459296958, -1.2378480647269776, -1.2606852758809246, -0.806432827420001, -0.8495592321994703, -1.6181380310081341, -0.9236819545236042, -1.3965476073451386, -0.959910200747254, -0.1970029818728699, -1.533220027555957, -0.967966814853823, -2.1954584168943314, -1.4786100614253732, -1.3303845175027813, -0.3604189886395206, -0.9844012909169795, -1.7318432231081944, -0.8851671769951872, -0.3814332463327761, -1.4656108352737567, -1.7681183705871302, -2.4369857567454174, -0.8584181031520761, -1.5980157200457406, -1.688691656620001, -1.3126252751177787, -0.6119390828777184, -0.4376426693843678, -0.6436111621785796, -0.4579984378113874, -1.039747215896388, -1.3102522665377114, -0.5933091177550067, -0.8938680637778473, -0.5245668289676462, -0.6378440128713958, -1.0934789475962017, -0.8850861448731171, -0.24183306694247012, -1.052648535294625, -1.938678571533714, -0.708402469798852, -0.2946636523196514, -1.0555196362373267, -0.32422878722678694, -1.590193313361406, -1.0249771213566148, -1.2659340096604934, -1.6684655078271953]","[0.0021394705613270925, 0.002425649192007384, 1.2390153139485456]","[10.0, 10.0, 0.0]","[0.0, 7.374132481835531e-07, 0.0]","[3.06424281366598, 1.0339659548714613, 0.3903951156127607, 0.36003616261993227, 0.17341846112874315, 0.2677648252475783, 0.1604923739186755, 0.22845098414138915, 0.45519122987261074, 0.6875480425573048, 0.6865523851245926, 0.7967101802552643, 0.9299598725635467, 1.1872203460022943, 1.040808394628188, 1.486987537384427, 1.7334320640054943, 0.1913830788679189, 1.5390525095008896, 2.3901949971762035, 0.23705410785015416, 2.137232208037581, 2.7284238388325113, 2.155681632060146, 1.2547289010043692, 0.4489369773524039, 2.6346251544477286, 1.012267922471113, 2.502334201536786, 2.897212683502107]"
15,-0.016361321161445203,0.003824036711428211,0.020185357872873413,-0.020185357872873413,"[-1.4249378959549996, -1.1593650618996454, -1.2669313716487827, -0.8058146589247541, -0.7889669944369031, -0.7712376336246702, -0.43577665622270334, -1.3881771750320477, -0.968273469177106, -0.19700104196083323, -1.5332200192489187, -0.3233652933903647, -2.195458448742069, -1.4786382968323268, -1.3343842172422296, -0.36041927175617294, -1.0450374273639738, -1.7446910779822797, -0.9067214986583153, -0.35399281390017934, -1.4656376969173033, -1.7739839778087583, -2.406099348059726, -0.857615307682126, -1.2036615475049852, -0.7792856440760527, -1.3122925280777482, -0.6125780316308481, -0.4131670307818177, -0.43015868147755465, -0.4561803880720885, -1.0470257450126201, -1.2925167450254067, -0.5931817171934206, -0.8934605598191894, -0.5301495809664332, -0.6378440084519355, -1.096786243239801, -0.8850878464169076, -0.2419748949484012, -1.100366761574631, -1.93869399883187, -0.7086264747790683, -0.25611804954241246, -1.0555052082911547, -0.4299416036516532, -1.588630239952695, -1.0276693843401767, -1.2658122715611637, -1.6809328424963073]","[0.0, 0.0, 2.397157184958531]","[10.0, 10.0, 0.0]","[0.0, 0.0, 0.0]","[1.7320601342215063, 0.2271751477651517, 0.8884032609271834, 0.18096633922142188, 0.20184781725465634, 0.1742423703785478, 0.195953914528722, 0.17149425359864176, 0.6204217848814502, 0.8400627329432526, 0.8393208398842062, 1.1430101819223246, 1.481681540595738, 0.6480282078729819, 0.46123869027023473, 1.2158697539006849, 1.3676948918841938, 0.24261248522292392, 0.8964951212713679, 1.5706549879830236, 0.2296784751339717, 1.2538995888475541, 1.6562331862847257, 1.4663440713514646, 0.6993543698918452, 0.1892239627382233, 1.607361781065634, 0.308751082553805, 1.4576029923827383, 1.6953609967181411]"
16,-0.012060822639012238,0.0038240367114282105,0.01588485935044045,-0.01588485935044045,"[-1.1762485730882148, -1.1757035500818334, -0.9095171741990788, -0.41436185485505805, -0.7756089608707937, -1.003635715483611, -0.23821687110057854, -1.0150418395226133, -0.5419800098268605, -0.3648988223609633, -1.3168732171686512, -0.2504305146493224, -2.184985784085111, -0.8795453588994622, -0.2645344985026894, -0.4041067834841879, -0.9971582861286328, -1.37591767910338, -0.4916148742514843, -0.8996001502531261, -0.7764430411123354, -0.9793252533095598, -2.4346699862044066, -0.781603715186429, -1.2248633470008867, -1.3263517973247614, -0.985752046703054, -0.4883564388595498, -0.5721211247511846, -0.2912590872428501, -0.1923597150816881, -0.35234867980183193, -1.29392712685832, -0.6511110214335791, -1.4838982208675102, -0.3368732247273669, -0.28976411179178063, -1.1614199382997554, -0.5972908144016688, -0.06447113725267958, -1.0572685273323263, -1.0209638374302348, -0.3038017920385577, -0.18622731725472408, -0.5416469572029583, -0.38997005089815984, -1.0440432156517025, -0.5514575582603535, -0.4265122586072858, -1.2260665152979562]","[0.12353348633021559, 0.14005754003946316, 0.14005752886201425]","[10.0, 10.0, 0.0]","[0.0, 0.0, 0.0]","[4.1200802648763295, 1.4485536717602032, 0.6078467345875291, 0.580276568067762, 0.22517488904673394, 0.3446522528579796, 0.2075740572031098, 0.29873191010190087, 1.0841612383516956, 1.0954767422909215, 1.0939355159251218, 2.060217709317762, 2.291401534021502, 2.4272217480888068, 2.080922361402889, 2.4121124410752466, 2.5631826078932414, 0.5932762503984808, 2.810762757799331, 3.364942978979285, 0.46481365154903515, 3.3062014366080654, 3.7513498887136816, 3.152556044260841, 2.524293678395791, 0.6258135218391807, 3.6726418553700015, 1.7060177755678572, 3.621847756745556, 3.938424569912868]"
17,-0.009991637875621897,0.0038240367114282105,0.013815674587050108,-0.013815674587050106,"[-1.0397321408640534, -0.9543565662533506, -0.9096047890130574, -0.18323386956297072, -0.48611473111404546, -0.7349342191246753, -0.5089525940719736, -0.8071174463096247, -0.17225679665936355, -0.28411505492532824, -0.39626285047661725, -0.36389112986340044, -1.9523914770569455, -1.0294889237835398, -0.7963536463556024, -0.30941334536398807, -0.35142426601006393, -1.3724597702308643, -0.6089181211815778, -0.8935220240089135, -0.485949730895324, -0.8816006019032225, -2.3014142689527923, -0.6661280475584812, -0.7343485428941827, -0.7778707985622955, -0.9082537498265235, -0.48839412839745, -0.4137072043422513, -0.14841046822467618, -0.15632160994453465, -0.8255390244848559, -1.101481228571748, -0.6262518025275872, -0.5797410995654619, -0.33615913597457836, -0.8076953706244148, -0.9011065686430622, -0.5972908841264476, -0.1561052442994574, -1.0525538013733926, -0.9916177858285958, -0.3584343657952896, -0.22868814329786513, -0.4293163368128404, -0.37958318925877155, -0.6968458545675633, -0.6617126200220194, -0.6469765031587045, -1.0451445949609184]","[0.34442500916203517, 0.0, 0.0]","[10.0, 10.0, 0.0]","[6.163195842926878e-07, 0.0, 0.0]","[1.6554114411449352, 0.15744579194681674, 0.6952272750895563, 0.13543858829059527, 0.1510939406009145, 0.12972755625546475, 0.14475219242697338, 0.12841083945317514, 0.5594257371277709, 0.7141395713265611, 0.7134260131157906, 1.1311273365189756, 1.4789693525589154, 0.5203122449442343, 0.337934125717698, 1.1407085982163478, 1.25184247237754, 0.20180615719949144, 0.7739667130795733, 1.4736163658870323, 0.18092356648124291, 1.1449555439554275, 1.5694217320137729, 1.3884576955368078, 0.5714813478238582, 0.1386506742776896, 1.528659375416229, 0.211671468418367, 1.3597454036603163, 1.613665814420593]"
18,-0.005075956459140443,0.0038240367114282105,0.008899993170568653,-0.008899993170568651,"[-1.009718346007897, -0.4182895193629985, -0.9095468952138841, -0.3053442951001195, -0.6420098861428597, -1.0014098500371191, -0.15069103544974993, -1.0881637224403327, -0.11952546408774745, -0.2841150633501257, -0.7230852259965714, -0.034460947493893945, -0.911585053328068, -0.6853593807085139, -0.04907172331042897, -0.4038236442656083, -0.49773904276203584, -0.8899478109585828, -0.15110247694659618, -0.9005032150570318, -0.1285101474321685, -0.25562480242632946, -0.9321642349121118, -0.31992659865727613, -0.29707165807106417, -0.15692445780211095, -0.4724801571084458, -0.4487756766447467, -0.13464215026902682, -0.008421019048074546, -0.041712135092831226, -0.8089319574611799, -0.6009549346687253, -0.30728337631846414, -0.3082294862038548, -0.3361591383881968, -0.28856001092177763, -0.2633759338377195, -0.5540772589507477, -0.009257430597723826, -0.38172727036175536, -0.2643925821359119, -0.03600429083621748, -0.06116580369640434, -0.5284645159880641, -0.1275645368138162, -1.0457501425766167, -0.7377936899760815, -0.9064805298250389, -0.31206440137898683]","[0.7656411866233515, 2.551228767999812, 2.5512287344138667]","[10.0, 10.0, 0.0]","[0.0, 0.0, 10.0]","[0.7002197381198978, 0.9223140531595408, 0.32918190893175864, 0.43913980524662544, 0.14858267864736582, 0.24893797915884344, 0.14616378791660173, 0.2289799759418389, 0.340020475804327, 0.3057966355986004, 0.30553123622642003, 0.5490793100899857, 0.5807053584418655, 0.5579642053017413, 0.6666098217616084, 0.5242040626405314, 0.5166809045544866, 0.32042637240312144, 0.5170623149119526, 0.6136950937194601, 0.21629802979674267, 0.5538772702740425, 0.6583877165050026, 0.6053315674864801, 0.5454911250682585, 0.4053028100879971, 0.6546059582241807, 0.8099789404799993, 0.6052122764165416, 0.679695358599869]"
